City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
464,Tuatapere,-46.1333,167.6833,51.39,71,89,5.88,NZ,2022-12-05 22:35:12
465,Dalbandin,28.8947,64.4101,51.8,34,0,7.4,PK,2022-12-05 22:35:13
466,Bombay,19.0144,72.8479,80.58,78,51,0.0,IN,2022-12-05 22:34:50
467,Santiago De Cao,-7.9589,-79.2392,71.73,78,6,12.66,PE,2022-12-05 22:35:13
468,Hurghada,27.2574,33.8129,66.24,55,0,9.22,EG,2022-12-05 22:35:14
469,Kumba,4.6363,9.4469,74.52,90,52,1.54,CM,2022-12-05 22:35:14
470,Alamosa,37.4695,-105.87,49.98,32,20,19.57,US,2022-12-05 22:35:15
471,Constantine,36.365,6.6147,53.01,54,0,4.61,DZ,2022-12-05 22:32:40
472,Visavadar,21.3833,70.6833,65.17,36,0,7.14,IN,2022-12-05 22:35:15
473,Lata,40.1629,-8.3327,54.07,92,100,2.95,PT,2022-12-05 22:35:16
474,Krasnaya Gora,52.9995,31.6023,14.2,88,99,8.63,RU,2022-12-05 22:35:16
475,Great Bend,38.3645,-98.7648,50.61,34,0,17.27,US,2022-12-05 22:35:16
476,Ikongo,-21.8833,47.4333,68.47,97,94,1.9,MG,2022-12-05 22:35:17
477,Gairo,39.8497,9.5047,51.01,57,99,3.38,IT,2022-12-05 22:35:17
478,Rengasdengklok,-6.1592,107.2981,78.73,82,99,3.87,ID,2022-12-05 22:35:17
479,Tomatlan,19.9333,-105.25,82.33,65,8,6.06,MX,2022-12-05 22:35:18
480,Honningsvag,70.9821,25.9704,38.95,75,40,10.36,NO,2022-12-05 22:35:18
481,Christchurch,-43.5333,172.6333,71.8,44,30,9.22,NZ,2022-12-05 22:35:19
482,Abu Dhabi,24.4667,54.3667,75.22,82,0,2.3,AE,2022-12-05 22:31:04
483,Kamaishi,39.2667,141.8833,40.01,69,97,2.46,JP,2022-12-05 22:35:19
484,Tessalit,20.1986,1.0114,76.82,15,90,9.78,ML,2022-12-05 22:35:20
485,Gubkinskiy,64.434,76.5026,5.59,95,69,11.48,RU,2022-12-05 22:35:20
486,Berbera,10.4396,45.0143,74.52,74,5,5.3,SO,2022-12-05 22:35:20
487,Marsh Harbour,26.5412,-77.0636,74.64,72,32,10.31,BS,2022-12-05 22:35:21
488,Vardo,70.3705,31.1107,26.58,86,100,5.75,NO,2022-12-05 22:35:21
489,Gidole,5.65,37.3667,62.6,47,99,3.94,ET,2022-12-05 22:35:22
490,Yarensk,62.1675,49.0916,12.7,84,100,5.68,RU,2022-12-05 22:35:22
491,Chimbote,-9.0853,-78.5783,67.96,79,9,8.7,PE,2022-12-05 22:35:23
492,Manokwari,-0.8667,134.0833,80.83,75,100,5.1,ID,2022-12-05 22:35:23
493,Hualmay,-11.0964,-77.6139,67.87,81,11,8.99,PE,2022-12-05 22:35:23
494,Sabya,17.1495,42.6254,78.42,69,0,3.11,SA,2022-12-05 22:35:24
495,Mantua,45.1667,10.7833,47.35,92,63,3.0,IT,2022-12-05 22:35:24
496,Vao,-22.6667,167.4833,77.65,88,100,11.88,NC,2022-12-05 22:35:25
497,Agde,43.3108,3.4758,37.26,93,0,3.44,FR,2022-12-05 22:35:25
498,Hue,16.4667,107.6,66.31,100,75,10.36,VN,2022-12-05 22:35:09
499,Coihaique,-45.5752,-72.0662,57.15,54,75,6.91,CL,2022-12-05 22:35:25
500,Khartoum,15.5518,32.5324,77.02,27,1,1.99,SD,2022-12-05 22:35:15
501,Abu Samrah,35.3029,37.1841,52.97,72,2,2.86,SY,2022-12-05 22:35:26
502,Hobyo,5.3505,48.5268,80.01,77,100,16.87,SO,2022-12-05 22:36:27
503,Labrea,-7.2586,-64.7981,71.01,99,100,4.07,BR,2022-12-05 22:36:27
504,Koslan,63.4564,48.8989,14.68,94,100,7.2,RU,2022-12-05 22:36:27
505,Sharan,54.8167,54.0,-9.17,100,100,0.29,RU,2022-12-05 22:36:28
506,Ngunguru,-35.6167,174.5,64.09,76,100,8.32,NZ,2022-12-05 22:36:28
507,Naze,28.3667,129.4833,59.92,69,97,18.99,JP,2022-12-05 22:36:28
508,Ibotirama,-12.1853,-43.2206,70.83,90,93,3.2,BR,2022-12-05 22:32:19
509,Baruun-Urt,46.6806,113.2792,4.78,69,5,15.77,MN,2022-12-05 22:36:29
510,Concepcion,-36.827,-73.0498,66.0,63,0,14.97,CL,2022-12-05 22:36:30
511,Abdanan,32.9926,47.4198,49.73,66,26,1.48,IR,2022-12-05 22:36:31
512,Okha,53.5739,142.9478,0.66,91,69,12.3,RU,2022-12-05 22:32:09
513,Hovd,48.0056,91.6419,1.44,80,6,3.6,MN,2022-12-05 22:36:31
514,Bereda,43.2686,-7.5406,47.41,100,100,1.25,ES,2022-12-05 22:36:32
515,Mitsamiouli,-11.3847,43.2844,79.43,82,39,11.45,KM,2022-12-05 22:36:32
516,Yangambi,0.8102,24.4336,69.15,99,98,1.97,CD,2022-12-05 22:36:32
517,High Level,58.5169,-117.136,-12.89,64,0,6.91,CA,2022-12-05 22:34:31
518,Oussouye,12.485,-16.5469,77.09,59,40,6.6,SN,2022-12-05 22:36:33
519,Nizhniy Ingash,56.2,96.53,5.4,80,100,13.31,RU,2022-12-05 22:36:34
520,Bomet,-0.7813,35.3416,54.73,84,100,2.8,KE,2022-12-05 22:36:34
521,Beringovskiy,63.05,179.3167,28.26,85,100,23.76,RU,2022-12-05 22:36:35
522,Matay,28.419,30.7792,58.89,72,0,10.47,EG,2022-12-05 22:36:35
523,Los Rastrojos,10.0259,-69.2417,71.44,69,94,4.16,VE,2022-12-05 22:36:35
524,Koutiala,12.3917,-5.4642,81.55,24,88,6.91,ML,2022-12-05 22:36:36
525,Lompoc,34.6391,-120.4579,64.69,64,0,12.66,US,2022-12-05 22:36:36
526,Myitkyina,25.3833,97.4,55.92,68,0,2.62,MM,2022-12-05 22:36:37
527,Berlevag,70.8578,29.0864,37.4,86,75,20.71,NO,2022-12-05 22:36:37
528,Beipiao,41.7919,120.7792,13.59,38,0,5.19,CN,2022-12-05 22:36:38
529,Kloulklubed,7.0419,134.2556,77.5,76,80,11.61,PW,2022-12-05 22:33:52
530,Mgandu,-5.95,34.1333,64.92,47,100,3.13,TZ,2022-12-05 22:36:38
531,Sarkand,45.41,79.9186,17.64,95,100,0.27,KZ,2022-12-05 22:36:39
532,Goderich,43.7501,-81.7165,39.52,48,100,9.22,CA,2022-12-05 22:36:39
533,Iquitos,-3.7481,-73.2472,84.24,65,40,5.75,PE,2022-12-05 22:36:39
534,Marystown,47.1666,-55.1483,35.91,85,38,7.7,CA,2022-12-05 22:36:40
535,Ballangen,68.3428,16.8315,35.82,93,100,28.77,NO,2022-12-05 22:36:40
536,Anlu,31.1661,112.5831,37.58,80,54,2.44,CN,2022-12-05 22:36:41
